id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,quorum health,61,64,5,101,328,ship,baseline,monotonic-signal,raise-signal
m002,g002,lease drift,92,65,28,26,255,ship,edge,drag-penalty,drop-slack
m003,g003,replica lag,71,49,48,84,154,watch,recovery,confidence-floor,raise-drag
m004,g004,membership churn,108,38,7,57,391,ship,negative,lane-boundary,lower-confidence
m005,g005,quorum health,95,35,13,67,335,ship,baseline,monotonic-signal,raise-signal
m006,g006,lease drift,79,25,38,70,180,ship,edge,drag-penalty,drop-slack
m007,g007,replica lag,79,39,38,76,200,ship,recovery,confidence-floor,raise-drag
m008,g008,membership churn,38,8,8,28,118,watch,negative,lane-boundary,lower-confidence
m009,g009,quorum health,118,65,19,71,414,ship,baseline,monotonic-signal,raise-signal
m010,g010,lease drift,60,50,5,90,300,ship,edge,drag-penalty,drop-slack
m011,g011,replica lag,83,27,49,61,141,watch,recovery,confidence-floor,raise-drag
m012,g012,membership churn,98,12,20,81,307,ship,negative,lane-boundary,lower-confidence
m013,g013,quorum health,118,77,12,29,412,ship,baseline,monotonic-signal,raise-signal
m014,g014,lease drift,30,31,8,44,133,watch,edge,drag-penalty,drop-slack
m015,g015,replica lag,38,27,14,99,184,ship,recovery,confidence-floor,raise-drag
m016,g016,membership churn,46,57,8,75,238,ship,negative,lane-boundary,lower-confidence
m017,g017,quorum health,62,40,10,44,230,ship,baseline,monotonic-signal,raise-signal
m018,g018,lease drift,60,23,13,70,221,ship,edge,drag-penalty,drop-slack
m019,g019,replica lag,111,33,44,87,277,ship,recovery,confidence-floor,raise-drag
m020,g020,membership churn,52,70,8,87,281,ship,negative,lane-boundary,lower-confidence
m021,g021,quorum health,79,56,37,25,170,watch,baseline,monotonic-signal,raise-signal
m022,g022,lease drift,39,41,32,83,113,watch,edge,drag-penalty,drop-slack
m023,g023,replica lag,71,52,38,69,182,ship,recovery,confidence-floor,raise-drag
m024,g024,membership churn,90,55,32,53,250,ship,negative,lane-boundary,lower-confidence
m025,g025,quorum health,68,44,13,69,265,ship,baseline,monotonic-signal,raise-signal
m026,g026,lease drift,47,45,26,75,157,watch,edge,drag-penalty,drop-slack
m027,g027,replica lag,45,29,41,40,40,hold,recovery,confidence-floor,raise-drag
m028,g028,membership churn,47,18,40,57,56,hold,negative,lane-boundary,lower-confidence
m029,g029,quorum health,61,50,23,89,230,ship,baseline,monotonic-signal,raise-signal
m030,g030,lease drift,58,58,16,60,228,ship,edge,drag-penalty,drop-slack
m031,g031,replica lag,108,11,42,93,260,ship,recovery,confidence-floor,raise-drag
m032,g032,membership churn,93,54,4,15,332,ship,negative,lane-boundary,lower-confidence
m033,g033,quorum health,54,43,32,43,120,watch,baseline,monotonic-signal,raise-signal
m034,g034,lease drift,112,29,27,98,355,ship,edge,drag-penalty,drop-slack
m035,g035,replica lag,61,41,12,87,263,ship,recovery,confidence-floor,raise-drag
m036,g036,membership churn,39,44,39,30,35,hold,negative,lane-boundary,lower-confidence
m037,g037,quorum health,41,13,35,69,65,hold,baseline,monotonic-signal,raise-signal
m038,g038,lease drift,32,59,34,86,105,hold,edge,drag-penalty,drop-slack
m039,g039,replica lag,79,66,42,99,234,ship,recovery,confidence-floor,raise-drag
m040,g040,membership churn,62,32,37,11,81,hold,negative,lane-boundary,lower-confidence
m041,g041,quorum health,110,17,40,82,269,ship,baseline,monotonic-signal,raise-signal
m042,g042,lease drift,36,1,22,68,89,hold,edge,drag-penalty,drop-slack
m043,g043,replica lag,51,47,42,65,97,hold,recovery,confidence-floor,raise-drag
m044,g044,membership churn,62,32,22,55,185,ship,negative,lane-boundary,lower-confidence
m045,g045,quorum health,80,62,17,74,308,ship,baseline,monotonic-signal,raise-signal
m046,g046,lease drift,79,34,16,39,246,ship,edge,drag-penalty,drop-slack
m047,g047,replica lag,87,39,24,69,273,ship,recovery,confidence-floor,raise-drag
m048,g048,membership churn,94,38,40,75,235,ship,negative,lane-boundary,lower-confidence
m049,g049,quorum health,110,75,11,59,420,ship,baseline,monotonic-signal,raise-signal
m050,g050,lease drift,64,50,19,92,258,ship,edge,drag-penalty,drop-slack
m051,g051,replica lag,93,57,32,27,235,ship,recovery,confidence-floor,raise-drag
m052,g052,membership churn,111,57,8,29,387,ship,negative,lane-boundary,lower-confidence
m053,g053,quorum health,89,60,43,97,252,ship,baseline,monotonic-signal,raise-signal
m054,g054,lease drift,112,38,20,86,380,ship,edge,drag-penalty,drop-slack
m055,g055,replica lag,43,61,38,42,80,hold,recovery,confidence-floor,raise-drag
m056,g056,membership churn,100,34,17,55,321,ship,negative,lane-boundary,lower-confidence
m057,g057,quorum health,97,23,12,85,351,ship,baseline,monotonic-signal,raise-signal
m058,g058,lease drift,86,44,32,98,272,ship,edge,drag-penalty,drop-slack
m059,g059,replica lag,88,74,31,23,237,ship,recovery,confidence-floor,raise-drag
m060,g060,membership churn,93,16,20,68,283,ship,negative,lane-boundary,lower-confidence
m061,g061,quorum health,108,59,19,67,374,ship,baseline,monotonic-signal,raise-signal
m062,g062,lease drift,61,37,20,64,204,ship,edge,drag-penalty,drop-slack
m063,g063,replica lag,46,45,29,67,134,watch,recovery,confidence-floor,raise-drag
m064,g064,membership churn,86,46,25,60,264,ship,negative,lane-boundary,lower-confidence
m065,g065,quorum health,74,49,7,38,281,ship,baseline,monotonic-signal,raise-signal
m066,g066,lease drift,102,7,20,68,301,ship,edge,drag-penalty,drop-slack
m067,g067,replica lag,80,75,14,87,346,ship,recovery,confidence-floor,raise-drag
m068,g068,membership churn,73,71,44,45,159,watch,negative,lane-boundary,lower-confidence
m069,g069,quorum health,82,37,43,91,202,ship,baseline,monotonic-signal,raise-signal
m070,g070,lease drift,32,11,44,26,-43,hold,edge,drag-penalty,drop-slack
m071,g071,replica lag,103,17,32,41,239,ship,recovery,confidence-floor,raise-drag
m072,g072,membership churn,54,52,38,83,145,watch,negative,lane-boundary,lower-confidence
m073,g073,quorum health,86,37,4,85,364,ship,baseline,monotonic-signal,raise-signal
m074,g074,lease drift,92,56,10,41,333,ship,edge,drag-penalty,drop-slack
m075,g075,replica lag,103,50,42,67,258,ship,recovery,confidence-floor,raise-drag
m076,g076,membership churn,112,44,28,71,339,ship,negative,lane-boundary,lower-confidence
m077,g077,quorum health,41,43,5,97,243,ship,baseline,monotonic-signal,raise-signal
m078,g078,lease drift,40,0,16,22,78,hold,edge,drag-penalty,drop-slack
m079,g079,replica lag,47,66,51,80,83,hold,recovery,confidence-floor,raise-drag
m080,g080,membership churn,54,62,39,53,121,watch,negative,lane-boundary,lower-confidence
m081,g081,quorum health,114,62,17,63,399,ship,baseline,monotonic-signal,raise-signal
m082,g082,lease drift,46,54,9,66,222,ship,edge,drag-penalty,drop-slack
m083,g083,replica lag,64,54,12,72,270,ship,recovery,confidence-floor,raise-drag
m084,g084,membership churn,33,66,4,24,173,ship,negative,lane-boundary,lower-confidence
m085,g085,quorum health,74,39,5,67,308,ship,baseline,monotonic-signal,raise-signal
m086,g086,lease drift,84,17,7,86,327,ship,edge,drag-penalty,drop-slack
m087,g087,replica lag,53,60,17,57,208,ship,recovery,confidence-floor,raise-drag
m088,g088,membership churn,41,9,34,77,73,hold,negative,lane-boundary,lower-confidence
m089,g089,quorum health,48,21,5,25,170,watch,baseline,monotonic-signal,raise-signal
m090,g090,lease drift,41,53,34,40,80,hold,edge,drag-penalty,drop-slack
m091,g091,replica lag,46,53,36,95,142,watch,recovery,confidence-floor,raise-drag
m092,g092,membership churn,52,50,28,71,165,watch,negative,lane-boundary,lower-confidence
