id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,quorum health,52,64,5,101,301,ship,baseline,monotonic-signal
g002,lease drift,92,76,28,26,266,ship,edge,drag-penalty
g003,replica lag,71,49,41,84,182,ship,recovery,confidence-floor
g004,membership churn,108,38,7,70,404,ship,negative,lane-boundary
g005,quorum health,86,35,13,67,308,ship,baseline,monotonic-signal
g006,lease drift,79,36,38,70,191,ship,edge,drag-penalty
g007,replica lag,79,39,31,76,228,ship,recovery,confidence-floor
g008,membership churn,38,8,8,41,131,watch,negative,lane-boundary
g009,quorum health,109,65,19,71,387,ship,baseline,monotonic-signal
g010,lease drift,60,61,5,90,311,ship,edge,drag-penalty
g011,replica lag,83,27,42,61,169,watch,recovery,confidence-floor
g012,membership churn,98,12,20,94,320,ship,negative,lane-boundary
g013,quorum health,109,77,12,29,385,ship,baseline,monotonic-signal
g014,lease drift,30,42,8,44,144,watch,edge,drag-penalty
g015,replica lag,38,27,7,99,212,ship,recovery,confidence-floor
g016,membership churn,46,57,8,88,251,ship,negative,lane-boundary
g017,quorum health,53,40,10,44,203,ship,baseline,monotonic-signal
g018,lease drift,60,34,13,70,232,ship,edge,drag-penalty
g019,replica lag,111,33,37,87,305,ship,recovery,confidence-floor
g020,membership churn,52,70,8,100,294,ship,negative,lane-boundary
g021,quorum health,70,56,37,25,143,watch,baseline,monotonic-signal
g022,lease drift,39,52,32,83,124,watch,edge,drag-penalty
g023,replica lag,71,52,31,69,210,ship,recovery,confidence-floor
g024,membership churn,90,55,32,66,263,ship,negative,lane-boundary
g025,quorum health,59,44,13,69,238,ship,baseline,monotonic-signal
g026,lease drift,47,56,26,75,168,watch,edge,drag-penalty
g027,replica lag,45,29,34,40,68,hold,recovery,confidence-floor
g028,membership churn,47,18,40,70,69,hold,negative,lane-boundary
g029,quorum health,52,50,23,89,203,ship,baseline,monotonic-signal
g030,lease drift,58,69,16,60,239,ship,edge,drag-penalty
g031,replica lag,108,11,35,93,288,ship,recovery,confidence-floor
g032,membership churn,93,54,4,28,345,ship,negative,lane-boundary
g033,quorum health,45,43,32,43,93,hold,baseline,monotonic-signal
g034,lease drift,112,40,27,98,366,ship,edge,drag-penalty
g035,replica lag,61,41,5,87,291,ship,recovery,confidence-floor
g036,membership churn,39,44,39,43,48,hold,negative,lane-boundary
g037,quorum health,32,13,35,69,38,hold,baseline,monotonic-signal
g038,lease drift,32,70,34,86,116,watch,edge,drag-penalty
g039,replica lag,79,66,35,99,262,ship,recovery,confidence-floor
g040,membership churn,62,32,37,24,94,hold,negative,lane-boundary
g041,quorum health,101,17,40,82,242,ship,baseline,monotonic-signal
g042,lease drift,36,12,22,68,100,hold,edge,drag-penalty
g043,replica lag,51,47,35,65,125,watch,recovery,confidence-floor
g044,membership churn,62,32,22,68,198,ship,negative,lane-boundary
g045,quorum health,71,62,17,74,281,ship,baseline,monotonic-signal
g046,lease drift,79,45,16,39,257,ship,edge,drag-penalty
g047,replica lag,87,39,17,69,301,ship,recovery,confidence-floor
g048,membership churn,94,38,40,88,248,ship,negative,lane-boundary
g049,quorum health,101,75,11,59,393,ship,baseline,monotonic-signal
g050,lease drift,64,61,19,92,269,ship,edge,drag-penalty
g051,replica lag,93,57,25,27,263,ship,recovery,confidence-floor
g052,membership churn,111,57,8,42,400,ship,negative,lane-boundary
g053,quorum health,80,60,43,97,225,ship,baseline,monotonic-signal
g054,lease drift,112,49,20,86,391,ship,edge,drag-penalty
g055,replica lag,43,61,31,42,108,hold,recovery,confidence-floor
g056,membership churn,100,34,17,68,334,ship,negative,lane-boundary
g057,quorum health,88,23,12,85,324,ship,baseline,monotonic-signal
g058,lease drift,86,55,32,98,283,ship,edge,drag-penalty
g059,replica lag,88,74,24,23,265,ship,recovery,confidence-floor
g060,membership churn,93,16,20,81,296,ship,negative,lane-boundary
g061,quorum health,99,59,19,67,347,ship,baseline,monotonic-signal
g062,lease drift,61,48,20,64,215,ship,edge,drag-penalty
g063,replica lag,46,45,22,67,162,watch,recovery,confidence-floor
g064,membership churn,86,46,25,73,277,ship,negative,lane-boundary
g065,quorum health,65,49,7,38,254,ship,baseline,monotonic-signal
g066,lease drift,102,18,20,68,312,ship,edge,drag-penalty
g067,replica lag,80,75,7,87,374,ship,recovery,confidence-floor
g068,membership churn,73,71,44,58,172,ship,negative,lane-boundary
g069,quorum health,73,37,43,91,175,ship,baseline,monotonic-signal
g070,lease drift,32,22,44,26,-32,hold,edge,drag-penalty
g071,replica lag,103,17,25,41,267,ship,recovery,confidence-floor
g072,membership churn,54,52,38,96,158,watch,negative,lane-boundary
g073,quorum health,77,37,4,85,337,ship,baseline,monotonic-signal
g074,lease drift,92,67,10,41,344,ship,edge,drag-penalty
g075,replica lag,103,50,35,67,286,ship,recovery,confidence-floor
g076,membership churn,112,44,28,84,352,ship,negative,lane-boundary
g077,quorum health,32,43,5,97,216,ship,baseline,monotonic-signal
g078,lease drift,40,10,16,22,88,hold,edge,drag-penalty
